independent variable,dependent variable,correlation,monotonic correlation,covariance,coefficient of variation,variance,standard deviation,mean,mode,median,min,max,skewness,kurtosis,5th percentile,25th percentile,50th percentile,75th percentile,95th percentile,99th percentile,sum,count,range,count unique,percent unique,variance unique,variance ratio,slope,intercept,mean squared error,average_error,r2
Impressions,Likes,0.8962769586454284,0.6853431081147752,133258.25170068027,0.40468118747918486,4209.918367346938,64.8838837258293,160.33333333333334,"0    114.0
1    151.0
Name: Likes, dtype: float64",150.0,72.0,416.0,1.2584849367898499,1.9745749989862569,80.5,116.5,150.0,188.5,294.29999999999995,329.75999999999965,15873.0,99,344.0,69,0.696969696969697,0.696969696969697,1.0,[0.02537839],[42.47276851],819.6747680424417,28.629962767046024,0.8033123865986985
Impressions,Saves,0.6256002617841216,0.47749553873163264,154566.6243042672,0.8495931950316721,11625.389610389611,107.82110002401947,126.9090909090909,"0     40.0
1    144.0
Name: Saves, dtype: float64",104.0,22.0,668.0,2.9800373007360523,11.86402714566236,34.9,61.0,104.0,144.0,290.99999999999983,668.0,12564.0,99,646.0,67,0.6767676767676768,0.6767676767676768,1.0,[0.02943646],[-9.79771269],7004.025114625511,83.69005385722673,0.39137568754436136
Impressions,Shares,0.47661741636911087,0.28916810122813424,8080.091836734689,0.9247862411588609,54.734693877551024,7.398289929270887,8.0,"0    3.0
Name: Shares, dtype: float64",6.0,0.0,41.0,2.017451371982408,6.315071831098699,0.9000000000000004,3.0,6.0,11.5,20.0,41.0,792.0,99,41.0,22,0.2222222222222222,0.2222222222222222,1.0,[0.00153881],[0.85354434],41.87365088132049,6.470985309929277,0.22716416158636665
Impressions,Comments,0.24720077063045479,0.26269877894483884,2045.454339311482,0.5188488990412496,13.039167182024322,3.610978701408293,6.959595959595959,"0    6.0
Name: Comments, dtype: float64",7.0,0.0,19.0,0.9889109249110919,1.9790761576370866,2.0,5.0,7.0,9.0,13.0,19.0,689.0,99,19.0,15,0.15151515151515152,0.15151515151515152,1.0,[0.00038955],[5.1504892],12.118706600769023,3.481193272538746,0.061108221000290674
